번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명
1,제과점영업,07_22_01_P,3230000,3230000-104-2025-00225,2025-06-20,,01,영업/정상,01,영업,,,,,,33.00,138-826,서울특별시 송파구 문정동 68-21,"서울특별시 송파구 새말로5길 6, 103호 (문정동)",05808,꾸미케이크 KKUMI CAKE,2025-06-20 11:26:48,I,2024-12-05 22:02:00.0,기타 휴게음식점,210964.573543664,442351.597138592,기타 휴게음식점
2,제과점영업,07_22_01_P,3230000,3230000-104-2021-00166,2021-05-25,,01,영업/정상,01,영업,,,,,02  32848116,3.30,138-825,서울특별시 송파구 문정동 36,"서울특별시 송파구 동남로6길 39, 1층 (문정동)",05803,세븐일레븐 문정프리미엄점,2025-05-14 13:25:17,U,2024-12-04 23:06:00.0,편의점,211031.816191024,442754.56853852,편의점
3,제과점영업,07_22_01_P,3230000,3230000-104-2025-00419,2025-11-11,,01,영업/정상,01,영업,,,,,,21.09,138-200,서울특별시 송파구 문정동 89-14 예성,"서울특별시 송파구 문정로4길 23, 예성 1층 101호 (문정동, 예성)",05809,우주,2025-11-11 16:47:04,I,2024-10-31 23:03:00.0,커피숍,211114.693643212,442451.849561404,커피숍
4,제과점영업,07_22_01_P,3230000,3230000-104-2025-00428,2025-11-14,,01,영업/정상,01,영업,,,,,,31.61,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,"서울특별시 송파구 충민로 66, 가든파이브라이프 제지1층 제 비에프1087호 (문정동)",05838,선차문화원,2025-11-14 15:07:26,I,2024-10-31 23:06:00.0,커피숍,210986.460698452,441725.293491662,커피숍
5,제과점영업,07_22_01_P,3230000,3230000-104-2025-00183,2025-05-20,,01,영업/정상,01,영업,,,,,,56.27,138-888,서울특별시 송파구 문정동 651 문정역테라타워,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 1층 168호 (문정동)",05855,카페 테라 cafe TERa,2025-05-20 14:27:16,I,2024-12-04 22:02:00.0,커피숍,,,커피숍
6,제과점영업,07_22_01_P,3230000,3230000-104-2025-00361,2025-09-29,,01,영업/정상,01,영업,,,,,,29.00,138-826,서울특별시 송파구 문정동 55-6 문정역 마에스트로,"서울특별시 송파구 문정로 1, 지하2층 B201~B204호 (문정동, 문정역 마에스트로)",05806,레벨업 PC방,2025-09-29 15:22:02,I,2024-10-31 00:01:00.0,기타 휴게음식점,210813.51310976,442691.180644406,기타 휴게음식점
7,제과점영업,07_22_01_P,3230000,3230000-104-2025-00187,2025-05-23,,01,영업/정상,01,영업,,,,,,54.78,138-200,서울특별시 송파구 문정동 141-2,"서울특별시 송파구 송이로37길 11, 1층 (문정동)",05798,카페 해유담,2025-05-23 10:25:28,I,2024-12-04 22:05:00.0,커피숍,211830.72183407,442835.779353182,커피숍
8,제과점영업,07_22_01_P,3230000,3230000-104-2025-00241,2025-07-04,,01,영업/정상,01,영업,,,,,,66.12,138-200,서울특별시 송파구 문정동 75-9,"서울특별시 송파구 새말로8길 30, 1층 101호 (문정동)",05817,우지커피 장지역점,2025-07-04 16:21:24,I,2024-12-07 00:06:00.0,커피숍,211132.533390588,442002.841604704,커피숍
9,제과점영업,07_22_01_P,3230000,3230000-104-2025-00198,2025-05-30,,01,영업/정상,01,영업,,,,,,45.95,138-888,서울특별시 송파구 문정동 652-5 문정 아이파크,"서울특별시 송파구 법원로4길 6, 문정 아이파크 1동 1층 113호 (문정동)",05855,과일만찬,2025-05-30 13:12:29,I,2024-12-06 00:01:00.0,기타 휴게음식점,,,기타 휴게음식점
10,제과점영업,07_22_01_P,3230000,3230000-104-2022-00095,2022-04-22,,01,영업/정상,01,영업,,,,,,22.96,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 6층 T-6131호 (문정동)",05838,패니발코리아(Fanival Korea),2022-04-22 13:13:17,I,2022-04-24 00:22:33.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
11,제과점영업,07_22_01_P,3230000,3230000-104-2019-00105,2019-03-26,,01,영업/정상,01,영업,,,,,02  69161500,3.30,138-200,서울특별시 송파구 문정동 97 대명빌딩 ,"서울특별시 송파구 새말로 136, 대명빌딩 1층 (문정동)",05799,이마트24 R문정대명점,2022-03-16 15:20:08,U,2022-03-19 02:40:00.0,기타 휴게음식점,211350.099419457    ,442328.447083979    ,기타 휴게음식점
12,제과점영업,07_22_01_P,3230000,3230000-104-2019-00095,2019-03-20,,01,영업/정상,01,영업,,,,,,33.00,138-826,서울특별시 송파구 문정동 67-8 ,"서울특별시 송파구 문정로4길 26, 1층 104호 (문정동)",05807,카페인중독 문정점,2024-04-18 14:34:50,U,2024-04-20 02:40:00.0,기타 휴게음식점,211082.7734435      ,442425.136814767    ,기타 휴게음식점
13,제과점영업,07_22_01_P,3230000,3230000-104-2019-00035,2019-01-28,,01,영업/정상,01,영업,,,,,070 42214878,48.46,138-885,서울특별시 송파구 문정동 150번지 올림픽훼밀리타운 ,"서울특별시 송파구 중대로 24, 지하1층 115,116호 (문정동, 올림픽훼밀리타운)",05834,뉴욕커피,2019-01-28 17:37:58,I,2019-01-30 02:21:05.0,기타 휴게음식점,210045.748264305    ,442930.687284628    ,기타 휴게음식점
14,제과점영업,07_22_01_P,3230000,3230000-104-2018-00432,2018-11-29,,01,영업/정상,01,영업,,,,,,33.00,138-200,서울특별시 송파구 문정동 112-8 ,"서울특별시 송파구 송이로38길 8, 예우재 1층 101호 (문정동)",05799,OASIS UNCLE(오아시스엉클),2023-06-19 11:50:36,U,2023-06-21 02:40:00.0,기타 휴게음식점,211698.093642673    ,442668.261365797    ,기타 휴게음식점
15,제과점영업,07_22_01_P,3230000,3230000-104-2019-00025,2019-01-21,,01,영업/정상,01,영업,,,,,,247.50,138-888,서울특별시 송파구 문정동 643-1 엠스테이트 ,"서울특별시 송파구 법원로 114, 엠스테이트 B동 1층 112~117호 (문정동)",05854,투썸플레이스 문정역점,2023-07-20 17:15:27,U,2023-07-22 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
16,제과점영업,07_22_01_P,3230000,3230000-104-2019-00077,2019-03-07,,01,영업/정상,01,영업,,,,,,45.50,138-200,서울특별시 송파구 문정동 78-10번지 대광빌딩 ,"서울특별시 송파구 새말로10길 8-1, 1층 101호 (문정동)",05810,씨유(CU) 문정 장지점,2019-03-07 14:24:19,I,2019-03-09 02:21:44.0,기타 휴게음식점,211191.08472706     ,442211.675430348    ,기타 휴게음식점
17,제과점영업,07_22_01_P,3230000,3230000-104-2023-00291,2023-07-13,,01,영업/정상,01,영업,,,,,,56.00,138-888,서울특별시 송파구 문정동 652-4 힐스테이트에코문정 ,"서울특별시 송파구 법원로4길 10, 힐스테이트에코문정 129호, 130호 (문정동)",05855,지에스25 문정힐스테이트점,2023-07-13 14:18:13,I,2023-07-15 00:19:09.0,편의점,,,편의점
18,제과점영업,07_22_01_P,3230000,3230000-104-2023-00338,2023-08-23,,01,영업/정상,01,영업,,,,,,33.00,138-200,서울특별시 송파구 문정동 96 ,"서울특별시 송파구 송이로36길 47, 1층 103호 (문정동)",05802,수눈,2023-08-23 15:15:00,I,2023-08-25 00:18:32.0,커피숍,211322.8975109      ,442376.88723839     ,커피숍
19,제과점영업,07_22_01_P,3230000,3230000-104-2023-00351,2023-09-04,,01,영업/정상,01,영업,,,,,,22.52,138-823,서울특별시 송파구 문정동 1 문정래미안아파트 ,"서울특별시 송파구 문정로 83, 상가동 B106호 (문정동, 문정래미안아파트)",05794,덤보네 김밥,2023-09-04 15:28:48,I,2023-09-06 00:18:13.0,기타 휴게음식점,211453.050926808    ,443165.755655708    ,기타 휴게음식점
20,제과점영업,07_22_01_P,3230000,3230000-104-2023-00352,2023-09-04,,01,영업/정상,01,영업,,,,,02  430 0905,30.00,138-824,서울특별시 송파구 문정동 9-7 ,"서울특별시 송파구 송이로 202, 1층 103호 (문정동)",05796,쌀어묵공방 문정점,2023-09-04 15:44:28,I,2023-09-06 00:18:13.0,일반조리판매,211261.608857952    ,443085.158158341    ,일반조리판매
21,제과점영업,07_22_01_P,3230000,3230000-104-2023-00326,2023-08-11,,01,영업/정상,01,영업,,,,,,30.17,138-888,서울특별시 송파구 문정동 643-1 엠스테이트 ,"서울특별시 송파구 법원로 114, 엠스테이트 C동 1층 C-101호 (문정동)",05854,백억커피 문정점,2023-08-11 17:04:31,I,2023-08-13 00:18:33.0,커피숍,,,커피숍
22,제과점영업,07_22_01_P,3230000,3230000-104-2023-00329,2023-08-17,,01,영업/정상,01,영업,,,,,,49.52,138-888,서울특별시 송파구 문정동 651-15 파트너스2 ,"서울특별시 송파구 법원로 90, 파트너스2 1층 107호 (문정동)",05855,복호두 문정점,2023-08-17 09:39:49,I,2023-08-19 00:19:05.0,기타 휴게음식점,,,기타 휴게음식점
23,제과점영업,07_22_01_P,3230000,3230000-104-2019-00236,2019-06-24,,01,영업/정상,01,영업,,,,,,20.70,138-960,서울특별시 송파구 문정동 634번지 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 현대시티몰 가든파이브점 (문정동)",05838,공차 현대아울렛 송파점,2019-06-24 16:20:33,I,2019-06-26 02:21:21.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
24,제과점영업,07_22_01_P,3230000,3230000-104-2019-00207,2019-06-07,,01,영업/정상,01,영업,,,,,,6.60,138-888,서울특별시 송파구 문정동 644번지 문정현대지식산업센터1-1 ,"서울특별시 송파구 법원로11길 11, 문정현대지식산업센터1-1 A동 1층 113호 (문정동)",05836,GS25 문정현대A동점,2019-06-07 11:45:21,I,2019-06-09 02:21:07.0,편의점,,,편의점
25,제과점영업,07_22_01_P,3230000,3230000-104-2023-00256,2023-06-20,,01,영업/정상,01,영업,,,,,,134.08,138-888,서울특별시 송파구 문정동 641-11 한양타워 ,"서울특별시 송파구 법원로11길 12, 한양타워 1층 (문정동)",05836,제주스 문정법조타운 한양타워점,2023-06-20 09:26:29,I,2023-06-22 00:19:51.0,커피숍,,,커피숍
26,제과점영업,07_22_01_P,3230000,3230000-104-2023-00263,2023-06-22,,01,영업/정상,01,영업,,,,,,75.87,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 1층 L-1050호 (문정동)",05838,던킨 가든파이브점,2023-06-22 14:56:38,I,2023-06-24 00:19:17.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
27,제과점영업,07_22_01_P,3230000,3230000-104-2023-00248,2023-06-13,,01,영업/정상,01,영업,,,,,,62.00,138-888,서울특별시 송파구 문정동 651-15 파트너스2 ,"서울특별시 송파구 법원로 90, 파트너스2 105호 (문정동)",05855,지에스(GS)25 문정파트너스점,2023-06-13 16:39:24,I,2023-06-15 00:19:34.0,편의점,,,편의점
28,제과점영업,07_22_01_P,3230000,3230000-104-2019-00196,2019-05-30,,01,영업/정상,01,영업,,,,,,6.60,138-960,서울특별시 송파구 문정동 634번지 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 지하1층 (문정동)",05838,카페 알리칸테,2019-05-30 17:07:49,I,2019-06-01 02:21:11.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
29,제과점영업,07_22_01_P,3230000,3230000-104-2019-00233,2019-06-21,,01,영업/정상,01,영업,,,,,02  20067714,27.90,138-885,서울특별시 송파구 문정동 150-2 문정프라자,"서울특별시 송파구 중대로 80, 문정프라자 지하2층 (문정동)",05833,밀솔루션,2025-12-22 15:24:51,U,2024-11-01 22:04:00.0,기타 휴게음식점,210343.699256005,443288.284974717,기타 휴게음식점
30,제과점영업,07_22_01_P,3230000,3230000-104-2019-00136,2019-04-17,,01,영업/정상,01,영업,,,,,,5.00,138-888,서울특별시 송파구 문정동 652-5번지 문정아이파크 ,"서울특별시 송파구 법원로4길 6, 1층 133호 (문정동)",05855,지에스25(GS25) 문정아이파크점,2019-04-17 13:01:56,I,2019-04-19 02:20:25.0,기타 휴게음식점,,,기타 휴게음식점
31,제과점영업,07_22_01_P,3230000,3230000-104-2019-00142,2019-04-19,,01,영업/정상,01,영업,,,,,,31.60,138-885,서울특별시 송파구 문정동 150-29 동원빌딩 ,"서울특별시 송파구 송파대로27길 28, 동원빌딩 지하1층 (문정동)",05833,맥스피드 PC방,2024-10-02 11:21:52,U,2024-10-04 02:40:00.0,기타 휴게음식점,210206.203919752    ,443209.625290637    ,기타 휴게음식점
32,제과점영업,07_22_01_P,3230000,3230000-104-2019-00127,2019-04-12,,01,영업/정상,01,영업,,,,,02  20548292,97.23,138-888,서울특별시 송파구 문정동 651번지 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 B동 1층 136호 (문정동)",05855,마도로스키친,2019-04-12 16:42:51,I,2019-04-14 02:20:20.0,기타 휴게음식점,,,기타 휴게음식점
33,제과점영업,07_22_01_P,3230000,3230000-104-2024-00332,2024-09-06,,01,영업/정상,01,영업,,,,,,25.96,138-888,서울특별시 송파구 문정동 644-2 문정현대지식산업센터1-2 ,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 1층 104호 (문정동)",05836,노르웨이살몬베이글,2024-09-06 12:44:24,I,2024-09-08 00:13:45.0,기타 휴게음식점,,,기타 휴게음식점
34,제과점영업,07_22_01_P,3230000,3230000-104-2019-00337,2019-09-04,,01,영업/정상,01,영업,,,,,,126.54,138-888,서울특별시 송파구 문정동 652-1 프라비다옥토 ,"서울특별시 송파구 법원로4길 17, 프라비다옥토 1층 (문정동)",05855,LT65,2020-11-20 11:29:44,U,2020-11-22 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
35,제과점영업,07_22_01_P,3230000,3230000-104-2019-00313,2019-08-13,,01,영업/정상,01,영업,,,,,,25.92,138-888,서울특별시 송파구 문정동 652-5번지 문정아이파크 ,"서울특별시 송파구 법원로4길 6, 문정아이파크 1층 139호 (문정동)",05855,컴포즈커피,2019-08-13 11:02:00,I,2019-08-15 02:22:17.0,기타 휴게음식점,,,기타 휴게음식점
36,제과점영업,07_22_01_P,3230000,3230000-104-2019-00356,2019-09-23,,01,영업/정상,01,영업,,,,,02  406 1955,10.00,138-825,서울특별시 송파구 문정동 39-1번지 프라도빌딩 ,"서울특별시 송파구 문정로 19, 프라도빌딩 1층 101호 (문정동)",05806,씨유 문정역점,2019-09-23 10:50:06,I,2019-09-25 02:22:36.0,편의점,210951.442461399    ,442706.682960145    ,편의점
37,제과점영업,07_22_01_P,3230000,3230000-104-2019-00374,2019-10-01,,01,영업/정상,01,영업,,,,,02  402 2969,51.00,138-885,서울특별시 송파구 문정동 150 올림픽훼밀리타운,"서울특별시 송파구 중대로 24, 상가동 1층 120,121,121-1호 (문정동, 올림픽훼밀리타운)",05834,이디야 올림픽훼미리타운점,2026-03-03 09:25:16,U,2025-12-03 00:05:00.0,커피숍,210045.748264305,442930.687284628,커피숍
38,제과점영업,07_22_01_P,3230000,3230000-104-2019-00304,2019-08-01,,01,영업/정상,01,영업,,,,,02  61057756,21.16,138-960,서울특별시 송파구 문정동 634번지 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 현대시티몰 가든파이브점 지하1층 (문정동)",05838,에그몬,2019-08-01 14:08:14,I,2019-08-03 02:21:52.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
39,제과점영업,07_22_01_P,3230000,3230000-104-2019-00305,2019-08-01,,01,영업/정상,01,영업,,,,,,44.40,138-888,서울특별시 송파구 문정동 651 문정역테라타워 ,"서울특별시 송파구 송파대로 167, 문정역테라타워 A동 G149호 (문정동)",05855,매머드 익스프레스 문정테라타워,2023-05-15 15:44:23,U,2023-05-17 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
40,제과점영업,07_22_01_P,3230000,3230000-104-2019-00277,2019-07-16,,01,영업/정상,01,영업,,,,,,17.00,138-888,서울특별시 송파구 문정동 651-10 파트너스1 ,"서울특별시 송파구 법원로 92, 파트너스1 지층 B103,B104호 (문정동)",05855,맥스피드PC 문정직영,2022-10-26 15:17:47,U,2022-10-28 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
41,제과점영업,07_22_01_P,3230000,3230000-104-2019-00259,2019-07-08,,01,영업/정상,01,영업,,,,,,44.00,138-826,서울특별시 송파구 문정동 59번지 ,"서울특별시 송파구 새말로5길 24, 1층 101호 (문정동)",05807,카페 hem,2019-07-08 13:22:09,I,2019-07-10 02:21:55.0,기타 휴게음식점,210895.039234415    ,442514.776319215    ,기타 휴게음식점
42,제과점영업,07_22_01_P,3230000,3230000-104-2016-00328,2016-11-03,,01,영업/정상,01,영업,,,,,,36.00,138-888,서울특별시 송파구 문정동 643-1번지 ,"서울특별시 송파구 법원로 114, E동 지하1층 B142호 (문정동, 엠스테이트)",05854,카페 마놀린문정점,2018-06-20 17:53:29,I,2018-08-31 23:59:59.0,기타 휴게음식점,,,기타 휴게음식점
43,제과점영업,07_22_01_P,3230000,3230000-104-2016-00331,2016-11-04,,01,영업/정상,01,영업,,,,,02  20893015,3.30,138-888,서울특별시 송파구 문정동 641-4 ,"서울특별시 송파구 법원로 127, 1층 (문정동)",05836,CU 문정대명벨리온점,2021-12-08 17:22:47,U,2021-12-10 02:40:00.0,편의점,,,편의점
44,제과점영업,07_22_01_P,3230000,3230000-104-2016-00036,2016-02-17,,01,영업/정상,01,영업,,,,,,13.20,138-888,서울특별시 송파구 문정동 634 ,"서울특별시 송파구 충민로 66, Y-2016호 (문정동, 가든파이브)",05838,공차 NC백화점 송파점,2020-09-18 19:29:36,U,2020-09-20 02:40:00.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
45,제과점영업,07_22_01_P,3230000,3230000-104-2024-00380,2024-10-11,,01,영업/정상,01,영업,,,,,,58.00,138-888,서울특별시 송파구 문정동 643-1 엠스테이트 ,"서울특별시 송파구 법원로 114, 엠스테이트 E동 지하1층 E-B178호 (문정동)",05854,세븐일레븐 송파문정역점,2024-10-11 15:44:17,I,2024-10-13 00:12:39.0,편의점,,,편의점
46,제과점영업,07_22_01_P,3230000,3230000-104-2019-00490,2019-04-17,,01,영업/정상,01,영업,,,,,,15.22,138-885,서울특별시 송파구 문정동 150 올림픽훼밀리타운 ,"서울특별시 송파구 중대로 24, 지하1층 B151호 (문정동, 올림픽훼밀리타운)",05834,카페 사운드인(sound in),2024-10-14 14:18:34,I,2024-10-16 00:12:28.0,커피숍,210045.748264305    ,442930.687284628    ,커피숍
47,제과점영업,07_22_01_P,3230000,3230000-104-2024-00404,2024-10-29,,01,영업/정상,01,영업,,,,,,22.68,138-960,서울특별시 송파구 문정동 634 가든파이브라이프 ,"서울특별시 송파구 충민로 66, 가든파이브라이프 7층 Y7044호 (문정동)",05838,메가엠지씨커피 가든파이브라이프점,2024-11-12 12:43:18,U,2024-11-14 02:40:00.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
48,제과점영업,07_22_01_P,3230000,3230000-104-2024-00425,2024-11-11,,01,영업/정상,01,영업,,,,,,10.84,138-200,서울특별시 송파구 문정동 103-15 ,"서울특별시 송파구 송이로36길 24, 1층 101호 (문정동)",05801,포카치아(Focaccia),2024-11-11 17:42:02,I,2024-11-13 00:12:05.0,커피숍,211470.47296477     ,442565.778409903    ,커피숍
49,제과점영업,07_22_01_P,3230000,3230000-104-2024-00388,2024-10-21,,01,영업/정상,01,영업,,,,,,92.64,138-888,서울특별시 송파구 문정동 642-3 문정역SKV1 ,"서울특별시 송파구 법원로 128, 문정역SKV1 1층 C108,C109호 (문정동)",05854,마데린커피,2024-10-21 11:11:04,I,2024-10-23 00:12:22.0,커피숍,,,커피숍
50,제과점영업,07_22_01_P,3230000,3230000-104-2024-00379,2024-10-11,,01,영업/정상,01,영업,,,,,,3.30,138-826,서울특별시 송파구 문정동 52 ,"서울특별시 송파구 동남로2길 30, 1층 (문정동)",05806,이마트24문정마에스트로점,2024-10-11 11:25:44,I,2024-10-13 00:12:39.0,편의점,210826.676146114    ,442726.275718304    ,편의점
51,제과점영업,07_22_01_P,3230000,3230000-104-2024-00387,2024-10-18,,01,영업/정상,01,영업,,,,,,47.07,138-200,서울특별시 송파구 문정동 102-7 동화빌딩 ,"서울특별시 송파구 새말로 155, 동화빌딩 103호 (문정동)",05801,요예 베이커리(yoye bakery),2024-10-18 10:11:33,I,2024-10-20 00:13:05.0,기타 휴게음식점,211475.728336359    ,442519.274970805    ,기타 휴게음식점
52,제과점영업,07_22_01_P,3230000,3230000-104-2024-00360,2024-09-26,,01,영업/정상,01,영업,,,,,,6.60,138-200,서울특별시 송파구 문정동 136 ,"서울특별시 송파구 송이로31길 20, 상가동 1층 107호,108호 일부호 (문정동)",05798,씨유 문정힐스테이트점,2024-09-26 17:08:44,I,2024-09-28 00:12:44.0,편의점,211717.256282953    ,443032.318861029    ,편의점
53,제과점영업,07_22_01_P,3230000,3230000-104-2012-00246,2012-12-10,,01,영업/정상,01,영업,,,,,,23.31,138-960,서울특별시 송파구 문정동 516번지 가든파이브 라이프 F4016호,"서울특별시 송파구 충민로 66, F4016호 (문정동, 가든파이브 라이프)",05838,더카페,2012-12-10 15:08:03,I,2018-08-31 23:59:59.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
54,제과점영업,07_22_01_P,3230000,3230000-104-2011-00240,2011-10-10,,01,영업/정상,01,영업,,,,,02  30127411,42.90,138-200,서울특별시 송파구 문정동 76-1 지상1층 ,"서울특별시 송파구 새말로8길 27, 지상1층 (문정동)",05810,신전 떡볶이,2024-10-04 11:17:41,U,2024-10-06 02:40:00.0,일반조리판매,211160.897060247    ,442018.027417102    ,일반조리판매
55,제과점영업,07_22_01_P,3230000,3230000-104-2012-00227,2012-11-06,,01,영업/정상,01,영업,,,,,,278.00,138-824,"서울특별시 송파구 문정동 4-8번지 지상1,2층 ","서울특별시 송파구 동남로 132, 지상1,2층 (문정동)",05796,투썸플레이스 문정로데오점,2019-06-03 17:09:42,U,2019-06-05 02:40:00.0,커피숍,211050.455          ,443200.24           ,커피숍
56,제과점영업,07_22_01_P,3230000,3230000-104-2013-00004,2013-01-10,,01,영업/정상,01,영업,,,,,,191.69,138-962,서울특별시 송파구 문정동 292번지 가든파이브 툴관 5층 S-01 ,"서울특별시 송파구 충민로 10, 가든파이브 툴동 지상5층 S-01호 (문정동)",05840,주식회사 에이티엔2015,2016-05-02 10:32:48,I,2018-08-31 23:59:59.0,기타 휴게음식점,210480.282018702    ,441833.16323518     ,기타 휴게음식점
57,제과점영업,07_22_01_P,3230000,3230000-104-2017-00233,2017-05-19,,01,영업/정상,01,영업,,,,,,314.40,138-888,서울특별시 송파구 문정동 651 ,"서울특별시 송파구 송파대로 167, B동 1~2층 137,138,139,204호 (문정동, 문정역 테라타워)",05855,스타벅스 문정역점,2023-02-14 14:43:33,U,2023-02-16 02:40:00.0,커피숍,,,커피숍
58,제과점영업,07_22_01_P,3230000,3230000-104-2016-00322,2016-10-27,,01,영업/정상,01,영업,,,,,02  328 4819,3.30,138-888,서울특별시 송파구 문정동 643-1 ,"서울특별시 송파구 법원로 114, B동 118호 (문정동, 현대엠스테이트)",05854,세븐일레븐 문정엠스테이트점,2024-02-08 17:44:31,U,2024-02-11 02:40:00.0,기타 휴게음식점,,,기타 휴게음식점
59,제과점영업,07_22_01_P,3230000,3230000-104-2016-00325,2016-10-31,,01,영업/정상,01,영업,,,,,,29.36,138-888,서울특별시 송파구 문정동 644번지 ,"서울특별시 송파구 법원로11길 11, A동 131호 (문정동, 문정현대지식산업센터1-1)",05836,퀴즈노스 문정법조타운점,2018-11-08 10:45:44,U,2018-11-10 02:37:45.0,기타 휴게음식점,,,기타 휴게음식점
60,제과점영업,07_22_01_P,3230000,3230000-104-2017-00223,2017-05-18,,01,영업/정상,01,영업,,,,,,92.76,138-888,서울특별시 송파구 문정동 634번지 ,"서울특별시 송파구 충민로 66, 3층 (문정동, 가든파이브라이프)",05838,벨로치노,2017-05-18 15:37:09,I,2018-08-31 23:59:59.0,커피숍,210986.460698452    ,441725.293491662    ,커피숍
61,제과점영업,07_22_01_P,3230000,3230000-104-2016-00294,2016-09-30,,01,영업/정상,01,영업,,,,,,3.30,138-826,서울특별시 송파구 문정동 52-9 ,"서울특별시 송파구 송파대로22길 6, 1층 (문정동)",05806,세븐일레븐 문정대성점,2024-02-08 17:51:51,U,2024-02-11 02:40:00.0,기타 휴게음식점,210778.070697026    ,442807.916199499    ,기타 휴게음식점
62,제과점영업,07_22_01_P,3230000,3230000-104-2017-00206,2017-05-16,,01,영업/정상,01,영업,,,,,,22.00,138-888,서울특별시 송파구 문정동 634번지 ,"서울특별시 송파구 충민로 66, T-3143호 (문정동, 가든파이브라이프)",05838,이디야커피 가든파이브 테크노관점,2019-04-25 12:26:54,U,2019-04-27 02:40:00.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
63,제과점영업,07_22_01_P,3230000,3230000-104-2017-00210,2017-05-16,,01,영업/정상,01,영업,,,,,,3.30,138-826,서울특별시 송파구 문정동 61-7번지 ,"서울특별시 송파구 문정로4길 10-30, 1층 (문정동, 편의점내)",05807,GS25 문정중앙점,2017-05-16 15:05:08,I,2018-08-31 23:59:59.0,기타 휴게음식점,210949.565355095    ,442599.88069232     ,기타 휴게음식점
64,제과점영업,07_22_01_P,3230000,3230000-104-2017-00218,2017-05-18,,01,영업/정상,01,영업,,,,,,18.00,138-888,서울특별시 송파구 문정동 634번지 ,"서울특별시 송파구 충민로 66, 지하1층 (문정동, 가든파이브라이프 현대시티몰)",05838,유노추보,2017-05-18 13:10:47,I,2018-08-31 23:59:59.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
65,제과점영업,07_22_01_P,3230000,3230000-104-2017-00219,2017-05-18,,01,영업/정상,01,영업,,,,,,16.86,138-888,서울특별시 송파구 문정동 634번지 ,"서울특별시 송파구 충민로 66, 지하1층 (문정동, 가든파이브라이프 테크노관)",05838,다마야끼,2018-06-01 17:21:51,I,2018-08-31 23:59:59.0,기타 휴게음식점,210986.460698452    ,441725.293491662    ,기타 휴게음식점
66,제과점영업,07_22_01_P,3230000,3230000-104-2017-00249,2017-05-25,,01,영업/정상,01,영업,,,,,,298.24,138-888,서울특별시 송파구 문정동 618 ,"서울특별시 송파구 송파대로 111, 법조대로204동 104,105,106,107호 (문정동, 파크하비오 하비오길)",05837,스타벅스 문정하비오점,2023-02-14 15:04:41,U,2023-02-16 02:40:00.0,기타 휴게음식점,210868.397496689    ,442053.227933005    ,기타 휴게음식점
67,제과점영업,07_22_01_P,3230000,3230000-104-2017-00251,2017-05-30,,01,영업/정상,01,영업,,,,,,6.60,138-888,서울특별시 송파구 문정동 642 ,"서울특별시 송파구 송파대로 201, A동 1층 126호 (문정동, 송파테라타워2 지식산업센터)",05854,세븐일레븐 문정테라타워점,2024-02-08 17:42:42,U,2024-02-11 02:40:00.0,커피숍,,,커피숍
68,제과점영업,07_22_01_P,3230000,3230000-104-2016-00018,2016-01-15,,01,영업/정상,01,영업,,,,,,3.30,138-826,서울특별시 송파구 문정동 54-11번지 ,"서울특별시 송파구 송파대로22길 5-5, 지상1층 (문정동, 대성학원)",05805,순화,2016-01-15 16:52:41,I,2018-08-31 23:59:59.0,기타 휴게음식점,210732.774480266    ,442842.36392302     ,기타 휴게음식점
